	prompt
2580	"Translate following English dialogue to Hindi.
Source Sentence:
I was about to quit the plan itself because of that, but I remembered you.
Target:
मैं इसी कारण से अपना प्लान छोड़ने वाला था लेकिन मुझे तुम्हारी याद आ गई।"
2581	"Translate following English dialogue to Hindi.
Source Sentence:
If it is difficult to get 5, can you try 2 at least?
Target:
अगर 5 लेना मुश्किल है, तो क्या तुम कम से कम 2 के लिए ट्राई कर सकते हो?"
2582	"Translate following English dialogue to Hindi.
Source Sentence:
2 tickets can be arranged.
Target:
2 टिकट अरेंज हो सकती हैं।"
2583	"Translate following English dialogue to Hindi.
Source Sentence:
I will ask my brother and get the tickets for you soon.
Target:
मैं अपने भाई से पूछूँगी और जल्द ही तुम्हारे लिए टिकट ले लूँगी।"
2584	"Translate following English dialogue to Hindi.
Source Sentence:
You can send him the payment directly, that will be easy.
Target:
तुम उन्हें सीधे पेमेंट भेज सकते हो, वह आसान रहेगा।"
2585	"Translate following English dialogue to Hindi.
Source Sentence:
Thank you yaar, I had promised my girlfriend.
Target:
थैंक यू यार, मैंने अपनी गर्लफ़्रेंड को प्रॉमिस किया था।"
2586	"Translate following English dialogue to Hindi.
Source Sentence:
She would have pestered me till the next concert.
Target:
वो मुझे अगले कॉन्सर्ट तक परेशान कर डालती।"
2587	"Translate following English dialogue to Hindi.
Source Sentence:
By the way, who goes to such concerts for the sake of music yar, it's just a high for me.
Target:
वैसे, म्यूज़िक के लिए कौन ऐसे कॉन्सर्ट में जाता है यार, यह मेरे बस का नहीं है।"
2588	"Translate following English dialogue to Hindi.
Source Sentence:
But I can't tell this to her, as I told you, my friend.
Target:
लेकिन मैं यह उसे नहीं बोल सकता, जैसा कि मैंने तुम्हें बताया मेरे दोस्त।"
2589	"Translate following English dialogue to Hindi.
Source Sentence:
I understand the scenario.
Target:
मैं समझ रही हूँ।"
2590	"Translate following English dialogue to Hindi.
Source Sentence:
Don't worry 2 tickets can be well arranged of.
Target:
चिंता मत करो, 2 टिकट तो अरेंज हो सकती हैं।"
2591	"Translate following English dialogue to Hindi.
Source Sentence:
I have already informed my brother and he has booked your tickets already.
Target:
मैंने अपने भाई से कह दिया है और उसने पहले से ही तुम्हारी टिकट बुक कर दी हैं।"
2592	"Translate following English dialogue to Hindi.
Source Sentence:
So now you can be rest assured and collect it from me tomorrow when we will be meeting.
Target:
तो अब तुम चिंता मत करो और कल जब हम मिलेंगे, तब मुझसे ले लेना।"
2593	"Translate following English dialogue to Hindi.
Source Sentence:
Sure dude, thank you.
Target:
श्योर डूड, थैंक्यू।"
2594	"Translate following English dialogue to Hindi.
Source Sentence:
Most welcome, lets catchup soon.
Target:
मोस्ट वेलकम, जल्द मिलते हैं।"
2595	"Translate following English dialogue to Hindi.
Source Sentence:
Hello, is this Mrs. Radhika, Arts teacher at Trinity Elementary School?
Target:
हेलो, क्या आप ट्रिनिटी एलिमेंट्री स्कूल की आर्ट की टीचर, मिसेज राधिका हैं?"
2596	"Translate following English dialogue to Hindi.
Source Sentence:
Yes. Who is this?
Target:
हाँ, आप कौन?"
2597	"Translate following English dialogue to Hindi.
Source Sentence:
My name is John Bernad, and I am Michele's father.
Target:
मेरा नाम जॉन बर्नड है और मैं मिशेल का पिता हूँ।"
2598	"Translate following English dialogue to Hindi.
Source Sentence:
Okay sir, how can I help you?
Target:
अच्छा सर, मैं आपकी क्या मदद कर सकती हूँ?"
2599	"Translate following English dialogue to Hindi.
Source Sentence:
Michel has expressed an interest in learning music.
Target:
मिशेल ने संगीत सीखने में रुचि दिखाई है।"
2600	"Translate following English dialogue to Hindi.
Source Sentence:
I am so confused to select a genre.
Target:
लेकिन मैं शैली चुनने के बारे में समझ नहीं पा रहा हूँ।"
2601	"Translate following English dialogue to Hindi.
Source Sentence:
Could you assist me?
Target:
क्या आप मेरी मदद करेंगी?"
2602	"Translate following English dialogue to Hindi.
Source Sentence:
What is the easiest genre of music to learn?
Target:
संगीत में सीखने के लिए सबसे आसान शैली कौ- सी है?"
2603	"Translate following English dialogue to Hindi.
Source Sentence:
Sure.
Target:
हाँ, ज़रूर।"
2604	"Translate following English dialogue to Hindi.
Source Sentence:
Children should learn classical music, in my opinion.
Target:
मेरे हिसाब से बच्चों को शास्त्रीय संगीत सीखना चाहिए।"
2605	"Translate following English dialogue to Hindi.
Source Sentence:
Is it beneficial for children to study classical music?
Target:
क्या बच्चों के लिए शास्त्रीय संगीत सीखना फायदेमंद होगा?"
2606	"Translate following English dialogue to Hindi.
Source Sentence:
Yes. It's quite difficult but classical music has huge emotional benefits for children.
Target:
हाँ। यह काफी मुश्किल होता है लेकिन शास्त्रीय संगीत का बच्चों के लिए बहुत भावनात्मक लाभ होता है।"
2607	"Translate following English dialogue to Hindi.
Source Sentence:
According to studies, listening to live classical music evokes positive feelings in children.
Target:
स्टडीज़ के अनुसार, लाइव शास्त्रीय संगीत सुनने से बच्चों में सकारात्मक भावनाएं जागती हैं।"
2608	"Translate following English dialogue to Hindi.
Source Sentence:
It also has an effect on their listening and concentration abilities.
Target:
इसका उनके सुनने और एकाग्रता पर भी प्रभाव पड़ता है।"
2609	"Translate following English dialogue to Hindi.
Source Sentence:
Classical music is beneficial to children's development, that's nice.
Target:
शास्त्रीय संगीत बच्चों के विकास के लिए फायदेमंद है, यह तो अच्छा है।"
2610	"Translate following English dialogue to Hindi.
Source Sentence:
What other advantages does classical music have?
Target:
शास्त्रीय संगीत के और क्या फायदे हैं?"
2611	"Translate following English dialogue to Hindi.
Source Sentence:
Classical music necessitates practise and perseverance.
Target:
शास्त्रीय संगीत के लिए अभ्यास और मेहनत जरूरी है।"
2612	"Translate following English dialogue to Hindi.
Source Sentence:
This training will discipline the child's life.
Target:
इस ट्रेनिंग से बच्चे के जीवन में अनुशासन आएगा।"
2613	"Translate following English dialogue to Hindi.
Source Sentence:
It functions as an antidepressant.
Target:
यह ऐंटीडिप्रेसेंट के तरह भी काम करता है।"
2614	"Translate following English dialogue to Hindi.
Source Sentence:
It also soothes children's minds.
Target:
यह बच्चों के मन को शांत भी करता है।"
2615	"Translate following English dialogue to Hindi.
Source Sentence:
Yeah, a calm child is more joyful.
Target:
हाँ, शांत बच्चा ज्यादा खुश रहता है।"
2616	"Translate following English dialogue to Hindi.
Source Sentence:
As children learn to listen carefully rather than just hear,
Target:
क्योंकि बच्चे ध्यान लगा कर सुनना सीखते हैं न कि मात्र सुनना,"
2617	"Translate following English dialogue to Hindi.
Source Sentence:
their memory cells begin to work harder to store notes, tunes, tones, methods, approaches, and so on.
Target:
इसलिए उनके मेमोरी सेल नोट्स, ट्यून, टोन, तरीके, अप्रोच और ऐसी चीजें स्टोर करने के लिए और ज्यादा काम करते हैं।"
2618	"Translate following English dialogue to Hindi.
Source Sentence:
Okay, I'll look for a classical music teacher in the area for Michele.
Target:
ठीक है, मैं मिशेल के लिए इस इलाके में शास्त्रीय संगीत का टीचर खोजता हूँ।"
2619	"Translate following English dialogue to Hindi.
Source Sentence:
I understand that classical music is India's soul.
Target:
मेरे खयाल से शास्त्रीय संगीत भारत की आत्मा है।"
2620	"Translate following English dialogue to Hindi.
Source Sentence:
That's great.
Target:
यह तो बहुत अच्छा है।"
2621	"Translate following English dialogue to Hindi.
Source Sentence:
Please keep in mind that if she is not interested in classical music, you should not force her to learn it.
Target:
बस इतना याद रखें कि अगर वो शास्त्रीय संगीत सीखने में रुचि नहीं दिखाती है तो उसे सीखने के लिए जोर मत दीजिए।"
2622	"Translate following English dialogue to Hindi.
Source Sentence:
We should encourage them based on their abilities.
Target:
हमें उनकी क्षमता के अनुसार उन्हें प्रोत्साहित करना चाहिए।"
2623	"Translate following English dialogue to Hindi.
Source Sentence:
Sure ma'am.
Target:
जी मैम।"
2624	"Translate following English dialogue to Hindi.
Source Sentence:
Thank you so much for your guidance.
Target:
आपकी गाइडेंस के लिए धन्यवाद।"
2625	"Translate following English dialogue to Hindi.
Source Sentence:
You are welcome, and please convey my greetings to Michele.
Target:
यू आर वेलकम, और मिशेल को मेरा प्यार दीजिएगा।"
2626	"Translate following English dialogue to Hindi.
Source Sentence:
Okay, bye!
Target:
जरूर, बाय!"
2627	"Translate following English dialogue to Hindi.
Source Sentence:
Do you have a holiday tomorrow?
Target:
कल तुम्हारी छुट्टी है क्या ?"
2628	"Translate following English dialogue to Hindi.
Source Sentence:
Why would I have a holiday on a weekday?
Target:
बीच हफ्ते में भला मेरी छुट्टी क्यों होगी?"
2629	"Translate following English dialogue to Hindi.
Source Sentence:
Well, there will be a rally tomorrow.
Target:
ओह, कल एक रैली होगी।"
2630	"Translate following English dialogue to Hindi.
Source Sentence:
Our neighbourhood children got a holiday.
Target:
हमारे पड़ोस के बच्चों को छुट्टी मिली है।"
2631	"Translate following English dialogue to Hindi.
Source Sentence:
I thought you will get one too,
Target:
मुझे लगा तुम्हें भी मिली होगी,"
2632	"Translate following English dialogue to Hindi.
Source Sentence:
I don't have any holiday.
Target:
मुझे कोई छुट्टी नहीं है।"
2633	"Translate following English dialogue to Hindi.
Source Sentence:
Then I think it'd be better if you take leave for tomorrow.
Target:
फिर मेरे ख्याल से तुम कल छुट्टी ले लो तो अच्छा रहेगा।"
2634	"Translate following English dialogue to Hindi.
Source Sentence:
What is the big deal about this rally?
Target:
आखिर इस रैली में ऐसा है क्या ?"
2635	"Translate following English dialogue to Hindi.
Source Sentence:
A lot of rallies happen all the time.
Target:
हरदम ऐसी बहुत-सी रैलियाँ होती ही रहती हैं।"
2636	"Translate following English dialogue to Hindi.
Source Sentence:
This one will be huge.
Target:
यह बहुत बड़ी होगी।"
2637	"Translate following English dialogue to Hindi.
Source Sentence:
Because all the major parties, Bharatiya Janata Party, Trinamool Congress, and Communist Party, are taking part in it.
Target:
क्योंकि सभी बड़ी पार्टियाँ, भारतीय जनता पार्टी, तृणमूल कांग्रेस और कम्युनिस्ट पार्टी इसमें हिस्सा लेने वाली हैं।"
2638	"Translate following English dialogue to Hindi.
Source Sentence:
All of them?
Target:
सभी?"
2639	"Translate following English dialogue to Hindi.
Source Sentence:
Yes, and I doubt if you will be able to make it home on time.
Target:
हाँ और मुझे लगता है कि तुम शायद ही समय पर घर पहुँच पाओगी।"
2640	"Translate following English dialogue to Hindi.
Source Sentence:
If you go to the office tomorrow.
Target:
अगर तुम कल ऑफ़िस जाती हो तो।"
2641	"Translate following English dialogue to Hindi.
Source Sentence:
I doubt it too.
Target:
मुझे भी ऐसा लग रहा है।"
2642	"Translate following English dialogue to Hindi.
Source Sentence:
But I know nothing about this.
Target:
लेकिन मुझे इसके बारे में कुछ नहीं पता।"
2643	"Translate following English dialogue to Hindi.
Source Sentence:
Why are they doing this?
Target:
वे ऐसा क्यों कर रहे हैं?"
2644	"Translate following English dialogue to Hindi.
Source Sentence:
They are doing this because the government didn't do everything as they promised in the manifesto.
Target:
वो ऐसा इसलिए कर रहे हैं क्योंकि सरकार ने घोषणापत्र में जैसा वादा किया था, वैसा कुछ भी नहीं किया।"
2645	"Translate following English dialogue to Hindi.
Source Sentence:
Is that so?
Target:
अच्छा ऐसा क्या?"
2646	"Translate following English dialogue to Hindi.
Source Sentence:
Then what about the time when Bharatiya Janata Party was ruling?
Target:
तो उस समय के बारे में क्या जब भारतीय जनता पार्टी सत्ता में थी?"
2647	"Translate following English dialogue to Hindi.
Source Sentence:
They did not do it as promised either.
Target:
उन्होंने भी तो वादे के अनुसार कुछ नहीं किया।"
2648	"Translate following English dialogue to Hindi.
Source Sentence:
True, but who cares?
Target:
सही है, पर कौन ध्यान देता है?"
2649	"Translate following English dialogue to Hindi.
Source Sentence:
This is how politics is always, right?
Target:
पॉलिटिक्स तो हमेशा से ही ऐसी है, है ना?"
2650	"Translate following English dialogue to Hindi.
Source Sentence:
Yes, they protest against one other for publicity and stuff.
Target:
हाँ, वो पब्लिसिटी और ऐसी ही बहुत-सी चीज़ों के लिए एक दूसरे का विरोध किया करते हैं।"
2651	"Translate following English dialogue to Hindi.
Source Sentence:
But in reality, these get to nothing.
Target:
लेकिन असलियत में, इसका कोई असर नहीं होता।"
2652	"Translate following English dialogue to Hindi.
Source Sentence:
Other than us suffering because of traffic and everything.
Target:
बस हम लोगों को ट्रैफ़िक और बाकी सभी चीज़ों को भुगतना पड़ता है।"
2653	"Translate following English dialogue to Hindi.
Source Sentence:
Exactly, I hope this won't be going on till tomorrow evening.
Target:
बिल्कुल, उम्मीद करती हूँ कि ये सब कल शाम तक नहीं चलता रहेगा।"
2654	"Translate following English dialogue to Hindi.
Source Sentence:
Will you be going?
Target:
तुम जाओगी क्या?"
2655	"Translate following English dialogue to Hindi.
Source Sentence:
I have to, there is so much work in the office.
Target:
मुझे जाना ही पड़ेगा, ऑफ़िस में बहुत सारा काम है।"
2656	"Translate following English dialogue to Hindi.
Source Sentence:
I can't take a leave because of this.
Target:
मैं इस कारण से छुट्टी भी नहीं ले सकती।"
2657	"Translate following English dialogue to Hindi.
Source Sentence:
Then go by public transport tomorrow.
Target:
फिर कल पब्लिक ट्रांसपोर्ट से जाना।"
2658	"Translate following English dialogue to Hindi.
Source Sentence:
We never know what might happen.
Target:
कुछ नहीं कहा जा सकता कि कल क्या हो जाए।"
2659	"Translate following English dialogue to Hindi.
Source Sentence:
What if there will be some fights?
Target:
अगर कल कहीं लड़ाई-झगड़े ही हो जाएँ तो?"
2660	"Translate following English dialogue to Hindi.
Source Sentence:
Remember, they burned down your colleague's bike a year before?
Target:
याद है, उन्होंने साल भर पहले तुम्हारे कलीग की बाइक जला दी थी?"
2661	"Translate following English dialogue to Hindi.
Source Sentence:
You are worrying too much.
Target:
तुम बहुत ज़्यादा चिंता कर रही हो।"
2662	"Translate following English dialogue to Hindi.
Source Sentence:
Nothing like that will happen.
Target:
ऐसा कुछ नहीं होगा।"
2663	"Translate following English dialogue to Hindi.
Source Sentence:
Hey, how do you always get the highest marks in Geography?
Target:
अरे, तुम्हें भूगोल में हमेशा सबसे अधिक नंबर कैसे मिल जाते हैं?"
2664	"Translate following English dialogue to Hindi.
Source Sentence:
You barely study.
Target:
तुम तो शायद ही कभी पढ़ते हो।"
2665	"Translate following English dialogue to Hindi.
Source Sentence:
And then there's me!
Target:
और एक मैं हूँ!"
2666	"Translate following English dialogue to Hindi.
Source Sentence:
Hi, there's a little secret of mine that I follow.
Target:
इसके पीछे एक छोटा सा राज़ है।"
2667	"Translate following English dialogue to Hindi.
Source Sentence:
Wouldn't share with anyone...
Target:
जो मैं किसी को बताउंगा नहीं...."
2668	"Translate following English dialogue to Hindi.
Source Sentence:
Between jokes apart, basically I have a keen interest in Geography from the very beginning.
Target:
खैर मज़ाक एक तरफ, बात ये है कि मेरी शुरू से ही भूगोल में बहुत रुचि है।"
2669	"Translate following English dialogue to Hindi.
Source Sentence:
Honestly I don't study the subject all round the clock.
Target:
सच कहता हूँ, मैं सारा दिन इसी विषय को नहीं पढ़ता रहता हूँ।"
2670	"Translate following English dialogue to Hindi.
Source Sentence:
During the class hours when ma'am teaches us the chapters I try to connect it with the actual scenario and paint a picture in my mind.
Target:
कक्षा में जब मैम वे अध्याय पढ़ाती हैं तो मैं उसे वास्तविक सीन से जोड़ने की कोशिश करता हूँ और अपने मन में उसका एक चित्र बना लेता हूँ।"
2671	"Translate following English dialogue to Hindi.
Source Sentence:
That way even I get concepts clear too.
Target:
इस तरह से कन्सेप्ट मुझे स्पष्ट रूप से समझ में आ जाते हैं।"
2672	"Translate following English dialogue to Hindi.
Source Sentence:
What do you mean by connecting with actual scenarios?
Target:
इसका क्या मतलब है कि तुम वास्तविक सीन से जोड़ने की कोशिश करते हो?"
2673	"Translate following English dialogue to Hindi.
Source Sentence:
It's Geography! All there is to it is mountains, rivers, oceans, climate, and unnecessary numbers.
Target:
यह भूगोल है! इसमें तो बस पहाड़, नदियाँ, सागर, मौसम और कुछ गैर ज़रूरी संख्याएं हैं।"
2674	"Translate following English dialogue to Hindi.
Source Sentence:
What do you even like about it?
Target:
इसमें तुम्हें पसंद भी क्या आता है?"
2675	"Translate following English dialogue to Hindi.
Source Sentence:
It's like the most boring of all the boring subjects.
Target:
यह सभी उबाऊ वाले विषयों में से सबसे ज्यादा उबाऊ जैसा है।"
2676	"Translate following English dialogue to Hindi.
Source Sentence:
If you think that way.
Target:
अगर तुम ऐसा ही सोचते हो तो।"
2677	"Translate following English dialogue to Hindi.
Source Sentence:
As you know I tend to travel a lot and watch a lot of movies.
Target:
जैसा कि तुम्हें पता है मैं बहुत घूमता रहता हूँ और काफी सारी फिल्में भी देखता हूँ।"
2678	"Translate following English dialogue to Hindi.
Source Sentence:
Whatever we study, it's all around us, we need to look up.
Target:
हम जो कुछ भी पढ़ते हैं वह हमारे चारों ओर ही होता है, हमें बस उसे देखने की ज़रूरत है।"
2679	"Translate following English dialogue to Hindi.
Source Sentence:
So whatever we study I try to recall the images and some of the places I have been to, or watched in movies and connect them.
Target:
इसलिए जब भी हम पढ़ते हैं तो मैं उन तस्वीरों और जिन जगहों पर मैं जा चुका हूँ, या फिर फिल्मों में मैंने जो देखा था, उन सब को याद करके जोड़ने की कोशिश करता हूँ।"
2680	"Translate following English dialogue to Hindi.
Source Sentence:
That way it is more of a visual thing for me, and you will remember for a longer period of time.
Target:
इस तरह उन चीज़ों का मैं सीन जैसा बना लेता हूँ और ऐसा ज्यादा लंबे समय तक याद रखा जा सकता है।"
2681	"Translate following English dialogue to Hindi.
Source Sentence:
Have you ever thought of studying this way?
Target:
क्या तुमने कभी इस तरह पढ़ने के बारे में सोचा है?"
2682	"Translate following English dialogue to Hindi.
Source Sentence:
Perhaps you're right, this method does help sometimes.
Target:
शायद तुम सही कह रहे हो, यह तरीका कभी-कभी मददगार साबित हो सकता है।"
2683	"Translate following English dialogue to Hindi.
Source Sentence:
But you know, for me it's very difficult to connect with a subject like Geography.
Target:
लेकिन जानते हो, मेरे लिए भूगोल जैसे विषय के साथ जुड़ना बहुत मुश्किल है।"
2684	"Translate following English dialogue to Hindi.
Source Sentence:
Maybe it fascinates you because you travel a lot; in my case, on the other hand, it's all just fictitious information.
Target:
शायद तुम्हें यह अच्छा लगता है क्योंकि तुम बहुत घूमते रहते हो; मेरे मामले में यह सब बस काल्पनिक जानकारी है।"
2685	"Translate following English dialogue to Hindi.
Source Sentence:
Besides, we have Indian Geography as part of our syllabus, and you guys probably study the best places in the world!
Target:
इसके अलावा, हमारे पाठ्यक्रम के अनुसार हमें भारत का भूगोल पढ़ाया जाता है और तुम लोगों को शायद दुनिया की सबसे अच्छी जगहों के बारे में पढ़ाया जाता है!"
2686	"Translate following English dialogue to Hindi.
Source Sentence:
It's different for us!
Target:
हमारे लिए यह बहुत अलग है!"
2687	"Translate following English dialogue to Hindi.
Source Sentence:
I can understand that it is a bit dfferent, but you can try watching a few videos for some selective topics, that also gives an idea.
Target:
मैं समझता हूँ कि तुम्हारे लिए यह थोड़ा अलग है, लेकिन तुम कुछ चुनिंदा विषयों पर थोड़े वीडियो देख सकती हो, उससे भी तुम्हें थोड़ी जानकारी मिलेगी।"
2688	"Translate following English dialogue to Hindi.
Source Sentence:
I kindoff started that way in the very beginning and then found alternatives.
Target:
मैंने पहले कुछ इसी तरह से शुरुआत की थी और फिर दूसरे रास्ते खोजे।"
2689	"Translate following English dialogue to Hindi.
Source Sentence:
It is more of an audio-visual thing.
Target:
यह काफी कुछ ऑडियो-विज़ुअल जैसी चीज है।"
2690	"Translate following English dialogue to Hindi.
Source Sentence:
If you want I can help you on this.
Target:
अगर तुम चाहो तो मैं इसमें तुम्हारी मदद कर सकता हूँ।"
2691	"Translate following English dialogue to Hindi.
Source Sentence:
Yes, I guess I'd like that.
Target:
हाँ, मुझे लगता है कि मुझे ऐसा करना अच्छा लगेगा।"
2692	"Translate following English dialogue to Hindi.
Source Sentence:
Do you think travelling so much has developed your liking for the subject or could it be the other way around?
Target:
क्या तुम्हें लगता है कि इतना घूमने फिरने के कारण तुम्हें यह विषय पसंद आने लगा या फिर इसका उल्टा है?"
2693	"Translate following English dialogue to Hindi.
Source Sentence:
I mean, does all this information about weather conditions, places, structures, and what not come handy when you're out exploring places?
Target:
मेरा मतलब है कि जब तुम यात्राओं पर निकलते हो तो क्या मौसम की स्थितियों, जगहों, इमारतों, और ऐसी कितनी ही चीजों के बारे में यह सब जानकारी तुम्हारे काम आती है?"
2694	"Translate following English dialogue to Hindi.
Source Sentence:
Especially in India where there's hardly anything special to see!
Target:
विशेष रूप से भारत में, जहां देखने लायक शायद ही कुछ है!"
2695	"Translate following English dialogue to Hindi.
Source Sentence:
It's not really the case.
Target:
ऐसी बात नहीं है।"
2696	"Translate following English dialogue to Hindi.
Source Sentence:
We have lot to see in India, most of the major waterbodies, hills and plains you will find in India too.
Target:
भारत में देखने लायक बहुत कुछ है, कई बड़े जलाशय, पहाड़ियाँ और मैदानी इलाके तुम्हें भारत में भी मिलेंगे।"
2697	"Translate following English dialogue to Hindi.
Source Sentence:
Like take for example the different Himalayan ranges which you can see from different states like Kanchenjunga, and many more are there, is one of a kind and each range have it's own feature to share.
Target:
उदाहरण के तौर पर अलग-अलग हिमालय पर्वतमालाएँ जो अलग अलग राज्यों से देखी जा सकती हैं, जैसे कि कंचनजंगा, तथा और भी कई हैं जो अपने आप में अनूठी हैं और हर पर्वतमाला की अपनी विशेषताएं हैं।"
2698	"Translate following English dialogue to Hindi.
Source Sentence:
The waterbodies also tend to get divided in a number of places resulting in deltas and islands.
Target:
जलाशय भी कई स्थानों में विभाजित हो कर डेल्टा और द्वीप बना देते हैं।"
2699	"Translate following English dialogue to Hindi.
Source Sentence:
Those masses of lands have some unique feature of their own.
Target:
भूमि के उन टुकड़ों की अपनी अनोखी विशेषताएं होती हैं।"
2700	"Translate following English dialogue to Hindi.
Source Sentence:
Maybe you're right! I remember miss Lea's class on Indian geography, and how she carved an intriguing picture for us.
Target:
शायद तुम सही हो! मुझे मिस ली की भारत के भूगोल की क्लास याद है और कैसे उन्होंने हमारे लिए एक रोचक तस्वीर गढ़ी थी।"
2701	"Translate following English dialogue to Hindi.
Source Sentence:
It's just how you can make the subject more interesting using different tips and tricks on your own.
Target:
यह बस विषय को और रोचक बनाने के लिए अलग-अलग तरीके और चालें इस्तेमाल करने के बारे में है।"
2702	"Translate following English dialogue to Hindi.
Source Sentence:
I dislike leaving the house for days but maybe I can try to keep an open mind and try looking at things the way you do.
Target:
मुझे बहुत दिनों तक घर से बाहर रहना पसंद नहीं है लेकिन मैं अपना दिमाग खुला रखने की और तुम्हारे नज़रिए से चीज़ों को देखने की कोशिश करूंगी।"
2703	"Translate following English dialogue to Hindi.
Source Sentence:
These shows and movies might come handy.
Target:
ये शो और फिल्में मेरे काम आ सकती हैं।"
2704	"Translate following English dialogue to Hindi.
Source Sentence:
Good talk, man! Thanks a lot!
Target:
बहुत अच्छा बोले, यार! बहुत बहुत धन्यवाद!"
2705	"Translate following English dialogue to Hindi.
Source Sentence:
You are welcome.
Target:
वेलकम।"
2706	"Translate following English dialogue to Hindi.
Source Sentence:
Hello, I'm calling about booking a cab to take me from the university hostel to Z Square mall.
Target:
हैलो, मैं यूनिवर्सिटी होस्टल से ज़ेड स्क्वायर मॉल जाने के लिए कैब बुक करने के लिए कॉल कर रही हूँ।"
2707	"Translate following English dialogue to Hindi.
Source Sentence:
How soon can I get one?
Target:
मुझे कितनी देर में मिल सकती है?"
2708	"Translate following English dialogue to Hindi.
Source Sentence:
I can send one of our drivers to your address immediately.
Target:
मैं आपके पते पर अपना एक ड्राइवर तुरंत भेज सकती हूँ।"
2709	"Translate following English dialogue to Hindi.
Source Sentence:
Where do you want to be picked up from?
Target:
आपको कहाँ से पिक अप करना है?"
2710	"Translate following English dialogue to Hindi.
Source Sentence:
I will wait in the main campus which is very close to the entrance.
Target:
मैं मेन कैम्पस में वेट करूँगी जो एंट्रेंस के बिल्कुल पास है।"
2711	"Translate following English dialogue to Hindi.
Source Sentence:
The security guard will let you in without issues.
Target:
सिक्योरिटी गार्ड बिना किसी समस्या के आपको अंदर आने देगा।"
2712	"Translate following English dialogue to Hindi.
Source Sentence:
Ok, can the cab enter the campus premises?
Target:
ओके, क्या कैब कैम्पस के अंदर आ सकती है?"
2713	"Translate following English dialogue to Hindi.
Source Sentence:
Is that allowed?
Target:
क्या इसकी अनुमति है?"
2714	"Translate following English dialogue to Hindi.
Source Sentence:
We got into trouble with another university once; I am asking just to be sure.
Target:
हम एक बार किसी दूसरी यूनिवर्सिटी में मुसीबत में पड़ गए थे; मैं बस श्योर होने के लिए पूछ रही हूँ।"
2715	"Translate following English dialogue to Hindi.
Source Sentence:
It's fine as long as they are notified beforehand.
Target:
अगर उन्हें पहले से बता दिया जाए तो कोई परेशानी नहीं है।"
2716	"Translate following English dialogue to Hindi.
Source Sentence:
I have informed them now so you will not face any trouble getting in.
Target:
मैंने उन्हें अभी बता दिया है तो आपको अंदर आने में कोई परेशानी नहीं होगी।"
2717	"Translate following English dialogue to Hindi.
Source Sentence:
Ok, can you send me some sort of document or screenshot to validate this?
Target:
ओके, क्या आप मुझे इस तरह का कोई डॉक्यूमेंट या स्क्रीनशॉट भेज सकती हैं?"
2718	"Translate following English dialogue to Hindi.
Source Sentence:
I am sorry for the trouble, but it is company policy.
Target:
मैं आपको परेशान करने की माफी चाहती हूँ लेकिन यह कंपनी की पॉलिसी है।"
2719	"Translate following English dialogue to Hindi.
Source Sentence:
I have a copy of the campus guidelines that state this.
Target:
मेरे पास कैम्पस गाइडलाइन की कॉपी है जिसमें ऐसा लिखा है।"
2720	"Translate following English dialogue to Hindi.
Source Sentence:
I have just sent it to you on WhatsApp.
Target:
मैंने अभी आपको ये वॉट्सएप पर भेजा है।"
2721	"Translate following English dialogue to Hindi.
Source Sentence:
Ok, that should work.
Target:
ओके, यह चल जाना चाहिए।"
2722	"Translate following English dialogue to Hindi.
Source Sentence:
For convenience in the future, you can make use of an app to avail our services in the campus.
Target:
भविष्य में सुविधा के लिए आप कैम्पस में हमारी सर्विस लेने के लिए ऐप का इस्तेमाल कर सकती हैं।"
2723	"Translate following English dialogue to Hindi.
Source Sentence:
It is called Trava-Go and is available in the Google Play Store.
Target:
इसका नाम है ट्रैवा-गो और यह गूगल प्ले स्टोर पर है।"
2724	"Translate following English dialogue to Hindi.
Source Sentence:
That would help out a great deal.
Target:
इससे बहुत मदद मिल जाएगी।"
2725	"Translate following English dialogue to Hindi.
Source Sentence:
Are you familiar with the whereabouts of the hostel?
Target:
क्या आप होस्टल की जगह जानती हैं?"
2726	"Translate following English dialogue to Hindi.
Source Sentence:
I am new to the area, so I am afraid I don't have a lot of idea.
Target:
मैं यहाँ नई हूँ तो मुझे बहुत ज़्यादा पता नहीं है।"
2727	"Translate following English dialogue to Hindi.
Source Sentence:
But I am sure the driver who gets assigned to you will know their way around.
Target:
लेकिन मैं मुझे लगता है कि आपको जो ड्राइवर दिया जाएगा, वो जानता होगा।"
2728	"Translate following English dialogue to Hindi.
Source Sentence:
I'll send the location to you just in case he doesn't.
Target:
मैं आपको लोकेशन भेजूँगी अगर उन्हें नहीं पता हो तो।"
2729	"Translate following English dialogue to Hindi.
Source Sentence:
Do I have to pay the fare beforehand or on arrival at the destination?
Target:
क्या मुझे पैसे पहले या अपनी जगह पर पहुँच जाने पर देने होंगे?"
2730	"Translate following English dialogue to Hindi.
Source Sentence:
That is your choice.
Target:
आप जैसा चाहें।"
2731	"Translate following English dialogue to Hindi.
Source Sentence:
You can either make the payment in advance or pay after the ride.
Target:
आप या तो एडवांस में दे सकते हैं या पहुँचने पर दे सकते हैं।"
2732	"Translate following English dialogue to Hindi.
Source Sentence:
If you need the cab to wait for you, there will be additional charges.
Target:
अगर आप चाहते हैं कि कैब आपका वेट करे, तो इसके एक्स्ट्रा पैसे लगेंगे।"
